,words,tf
1020,maalu,False
1021,five,True
1022,bank,True
1023,methani,False
1024,future,True
1025,tikak,False
1026,private,True
1027,hadissiyata,False
1028,neat,True
1029,this,True
1030,organization,True
1031,krnna,False
1032,wideshikayange,False
1033,ithaama,False
1034,mint,True
1035,samata,False
1036,kanne,False
1037,boss,True
1038,arakshaka,False
1039,rasatama,False
1040,vegetbles,False
1041,sometimes,True
1042,ape,True
1043,blanna,False
1044,100%,False
1045,washrooms,True
1046,karaganne,False
1047,cigeratte,False
1048,mathakai,False
1049,toilets,True
1050,gahawath,False
1051,sadaranai,False
1052,5/5,False
1053,sandwich,True
1054,deal,True
1055,aine,False
1056,sare,False
1057,awruddak,False
1058,galawanna,False
1059,washroom,True
1060,paul,False
1061,ingredients,True
1062,methaninmai,False
1063,800k,False
1064,samaharawita,False
1065,patui,False
1066,hadhanawaa,False
1067,hapanna,False
1068,broo,False
1069,welwat,False
1070,ganata,False
1071,or,True
1072,gdak,False
1073,missed,True
1074,dakkamai,False
1075,guidline,False
1076,nathinam,False
1077,rat,True
1078,gaththe,False
1079,wedata,False
1080,?,False
1081,mohothakata,False
1082,japan,True
1083,1000,True
1084,devil,True
1085,therumak,False
1086,eyata,False
1087,kamawal,False
1088,vitharak,False
1089,ehe,False
1090,do,True
1091,hithnne,False
1092,walai,False
1093,neveyi,False
1094,wishesha,False
1095,gotukola,False
1096,aharayata,False
1097,aran,False
1098,ekkenekt,False
1099,muwe,False
1100,sellam,False
1101,peya,False
1102,paranaiwagema,False
1103,paththe,False
1104,kame,False
1105,semata,False
1106,hasaral,False
1107,welawai,False
1108,mattame,False
1109,eya,False
1110,thanks,True
1111,kandayama,False
1112,hamadeyama,False
1113,tap,True
1114,dagena,False
1115,lot,True
1116,thiyenne,False
1117,dewatha,False
1118,ma,True
1119,balapan,False
1120,palaveni,False
1121,keeyawath,False
1122,methna,False
1123,uprimetama,False
1124,gadak,False
1125,naayakayek,False
1126,balconi,False
1127,kam,False
1128,thibuna,False
1129,lankaawe,False
1130,supiriyata,False
1131,customerservice,False
1132,paadu,False
1133,sathutui,False
1134,powder,True
1135,argue,True
1136,nam,False
1137,ekawath,False
1138,nowana,False
1139,available,True
1140,karanawa,False
1141,nuwi,False
1142,smell,True
1143,BBQ,True
1144,nisahase,False
1145,thibbe,False
1146,sellan,False
1147,kanawata,False
1148,wijerame,False
1149,negambo,False
1150,deka,False
1151,lamprice,False
1152,thibbata,False
1153,pamana,False
1154,little,True
1155,suba,False
1156,bibi,False
1157,ane,False
1158,pramukaathawak,False
1159,forign,False
1160,5k,False
1161,sampurna,False
1162,mix,True
1163,mandagami,False
1164,pawns,True
1165,lassana,False
1166,sampurnama,False
1167,uni,True
1168,village,True
1169,cost,True
1170,etharam,False
1171,adeyak,False
1172,chutney,True
1173,wade,True
1174,dissappointed,False
1175,mechchar,False
1176,kan,False
1177,gaththata,False
1178,aithikaru,False
1179,drink,True
1180,waiterwarunge,False
1181,da?,False
1182,hari,False
1183,niyamai,False
1184,items,True
1185,piligannawa,False
1186,kanakota,False
1187,awanhalakadi,False
1188,shakthiya,False
1189,tyeawa,False
1190,halak,False
1191,dannan,False
1192,sada,False
1193,koththu,False
1194,country,True
1195,hariyata,False
1196,kathaawath,False
1197,uata,False
1198,nelum,False
1199,sewawak,False
1200,wiwekagarayak,False
1201,active,True
1202,expect,True
1203,wereddak,False
1204,10k,False
1205,music,True
1206,process,True
1207,karya,False
1208,ekei,False
1209,harima,False
